"requirement_id","acceptance_criteria","implementation_evidence","validation_evidence","validation_command_or_suite","acceptance_status","notes_constraints"
"FR-090","AC-FR090-001 worker start 前 current reauth; AC-FR090-002 protected read/external effect/durable commit 前 current reauth と安全な中断","current-worker-authorization.ts は current subject/status/tenant/role/resource を start/protected_read/external_side_effect/durable_commit で再取得する。production 到達可能な chat/ingest/benchmark と reindex/publication が境界を使用し、revoke 時は本文取得・追加 fetch・成功 event/commit を止め、trace/observation/benchmark artifact を durable compensation/repair で補償する。async agent は production route/role/CDK worker が無効なため根拠外。","chat trace precommit、final-event precommit、ingest、benchmark mid-run fetch gate、cleanup retry、current-worker/governance/admission の revoke race と最終 API 657/657 が pass。failed chat run の SSE は stale final event を公開せず、local event ledger も atomic rename で部分 JSON を公開しない。","apps/api/src/security/current-worker-authorization.test.ts; apps/api/src/rag/memorag-service.test.ts; apps/api/src/contract/chat-run-events-stream.test.ts; apps/api/src/benchmark-run-authorization-worker.test.ts; benchmark/run-authorization.test.ts; apps/api/src/rag/admission-lifecycle.test.ts; npm test -w @memorag-mvp/api","implemented_verified","production/auth-enabled ingest は paired currentAuthorization 未設定を拒否する。async agent は dormant scope として明示し、到達不能 worker source を削除した。"
"FR-091","AC-FR091-001 absent/unauthorized 単一資源の同一 public contract; AC-FR091-002 authorized-only count/cursor/facet/citation; AC-FR091-003 Web/debug/worker の current minimal view","apps/api/src/security/public-resource-response.ts は固定 404 body/header/timing class、authorized-only pagination、metadata allowlist、revoked worker minimal result を提供し、document reader/share/move/delete routes と Web capability が詳細を隠す。","public-resource-response.test.ts は exact absent/unauthorized contract、timing lower bound、authorized-only count/cursor、metadata/worker minimizationを検証する。document-reader-routes.test.ts、api-contract.test.ts、DocumentWorkspace.test.tsx は route/Web 非列挙を検証する。実行結果はこの行では主張しない。","apps/api/src/security/public-resource-response.test.ts; apps/api/src/document-reader-routes.test.ts; apps/api/src/contract/api-contract.test.ts; apps/web/src/features/documents/components/DocumentWorkspace.test.tsx","implemented_verified","HTTP listener suites は sandbox 制約下では未実行として別記する必要がある。"
"FR-092","AC-FR092-001 structure/policy version による deterministic stable chunks; AC-FR092-002 oversized/short/locator/overlap/budget 違反を partial/quarantine","apps/api/src/rag/offline/pre-retrieval/chunking/chunker.service.ts は heading/paragraph/table/list/code/page/span を versioned policy 順で分割し stable ID と inherited security envelope を生成し、validation issue を ingest manifest/processing status へ反映する。","apps/api/src/rag/admission-lifecycle.test.ts は独立 run の deterministic chunk content/order/span/ID/policy と budget violation quarantine を検証し、text-processing.test.ts は structure boundary/locator を検証する。実行結果はこの行では主張しない。","apps/api/src/rag/admission-lifecycle.test.ts; apps/api/src/rag/text-processing.test.ts","implemented_verified","policy violation を silent truncation で成功扱いにしない。"
"FR-093","AC-FR093-001 version/slice signal + availability/confidence と missing 非 green; AC-FR093-002 alert/runbook と freeze/quarantine/rollback/limited/refuse interlock","production-rag-observation-producer.ts は ingest/trace/search/worker/benchmark/release/eligibility artifacts から versioned observations を保存する。current governance restriction の production eligibility path は実 actor role と manifest/policy の dataset/model/index/prompt/pipeline/parser/chunker/runtime/workload/price の完全 fingerprint を durable probe に渡す。ground truth unavailable と proxy を分離し、monitor は approved profile、alert owner/runbook、safe actions、runtime interlock を適用する。","restriction→current eligibility deny→deduplicated probe→aggregate→monitor evaluate の一貫試験は role slice、全 provenance dimension 一致、missing=[]、eligibility p99 gate pass を確認する。monitor/worker/infra と最終 workspace test は missing signal unavailable、zero-tolerance action、runtime mismatch、schedule を検証する。","apps/api/src/rag/production-rag-observation-producer.test.ts; apps/api/src/rag/production-rag-monitor.test.ts; apps/api/src/rag-quality-monitor-worker.test.ts; infra/test/memorag-mvp-stack.test.ts; npm test --workspaces --if-present","implementation_verified_operational_acceptance_pending","AWS notification/runtime、drift/rollback drill は synth/unit evidence であり live AWS observation はこの branch 検証に含めない。provenance mismatch は profile_mismatch として fail closed する。"
"SQ-005","AC-SQ005-001 全観測点 unauthorized exposure 0; AC-SQ005-002 1件を平均で相殺しない独立 gate","current eligibility prefilter/reauthorizer、trace sanitizer、tenant artifact partition、authorized-only response が candidate/prompt/citation/cache/trace への権限外 evidence を除外し、rag-quality-control.ts は unauthorized exposure を hard-coded zero-tolerance signal とする。","current-eligibility-vector-filter.test.ts、hybrid-search.test.ts、retrieve-memory.test.ts、trace-sanitizer.test.ts、tenant-artifact-partition.test.ts と rag-quality-control.test.ts が negative paths と 1件時 gate failure を検証する。実行結果はこの行では主張しない。","apps/api/src/adapters/current-eligibility-vector-filter.test.ts; apps/api/src/search/hybrid-search.test.ts; apps/api/src/chat-orchestration/nodes/retrieve-memory.test.ts; apps/api/src/rag/trace-sanitizer.test.ts; apps/api/src/rag/tenant-artifact-partition.test.ts; packages/contract/src/rag-quality-control.test.ts","control_verified_live_acceptance_pending","must-not-access corpus の live/large-scale run は別環境 evidence。"
"SQ-006","AC-SQ006-001 trigger×path の deny 時刻と max/p95/p99/未反映資源 report; AC-SQ006-002 threshold 未承認時は SLO pass 非表示","BenchmarkWorkloadEvidenceSchema/update metrics は share/account/role/group/classification/usage/quality/expiry/archive/delete × active/staged/old-index/cache/session/memory/queued-worker の70セルを必須化し、p50/p95/p99/max と unreflected resource IDs を導出する。","infra metrics 12/12 は完全70セルと不完 matrix unavailable を検証し、contract 11/11 は未承認/missing threshold を fail にする。","infra/test/update-benchmark-run-metrics.test.ts; packages/contract/src/rag-quality-control.test.ts; apps/api/src/rag/production-rag-observation-producer.test.ts","control_verified_live_acceptance_pending","measurement/gate contract は実装済み。production target は OQ-RD-004 の承認前なので SLO 合格は未主張。"
"SQ-007","AC-SQ007-001 全必須 SQ/question/tenant-role/OCR-language/multi-evidence/answerability/severity slice; AC-SQ007-002 未測定/未承認/non-regression を平均で相殺しない","case schema/metrics は7種の slice identity を保持・集約し、policy は必須 case/endpoint/recovery slices、approved threshold、baseline/non-regression、declared improvement を独立 gate する。","contract 11/11、producer 4/4、promotion 4/4 が missing slice/profile/baseline/improvement 失敗を検証する。","packages/contract/src/rag-quality-control.test.ts; apps/api/src/rag/production-rag-observation-producer.test.ts; benchmark/promotion-gate.test.ts","control_verified_live_acceptance_pending","threshold は stakeholder 未承認のため production pass ではなく gate capability の受け入れ。"
"SQ-008","AC-SQ008-001 production相当 workload で stage別 p50/p95/p99 + sample; AC-SQ008-002 corpus/ACL/concurrency/size/dependency profile mismatch を pass 扱いしない","workload schema は corpus/ACL/concurrency/document-size/dependency-latency dimensions を必須化し、chat/search/ingest stage 別 p50/p95/p99/sample を metrics/producer/gate へ渡す。","infra metrics 12/12 と contract 11/11 は dimension/stage 欠損・profile mismatch を unavailable/fail にする。","infra/test/update-benchmark-run-metrics.test.ts; packages/contract/src/rag-quality-control.test.ts; apps/api/src/rag/production-rag-observation-producer.test.ts","control_verified_live_acceptance_pending","production workload/profile/latency target は未承認・未実測のため SLO 達成は未主張。"
"SQ-009","AC-SQ009-001 authorized document/span の slice別 Recall@k/全根拠回収; AC-SQ009-002 leak 0 と false-denial 上限の同時 gate","versioned benchmark case retrieval evidence から update-benchmark-run-metrics.mjs が Recall@k と falseDenialRate を導出し、producer/gate が authorized_recall、false_denial、unauthorized_exposure を独立 mandatory signals として同時評価する。runtime prefilter は unauthorized hit 前に authorized candidates を選ぶ。","infra/test/update-benchmark-run-metrics.test.ts は case recall から false denial を導出し aggregate override を信頼しないことを検証する。current-eligibility-vector-filter.test.ts と rag-quality-control.test.ts は prefilter/zero leak independent gate を検証する。実行結果はこの行では主張しない。","infra/test/update-benchmark-run-metrics.test.ts; apps/api/src/adapters/current-eligibility-vector-filter.test.ts; packages/contract/src/rag-quality-control.test.ts","control_verified_live_acceptance_pending","approved dataset/profile がない値は observation unavailable となる。"
"SQ-010","AC-SQ010-001 claim/span 由来 faithfulness と unsupported claim; AC-SQ010-002 高重大度 unsupported claim を独立 fail","case claim は severity/support/supportSpans(locator)/citationIds を保持し、metrics は claim-level faithfulness/unsupported rate/critical-high unsupported count を導出、count を hard-coded zero tolerance にする。","infra metrics 12/12 と contract 11/11 は critical unsupported claim=1 の独立 fail と incomplete claim evidence unavailable を検証する。","infra/test/update-benchmark-run-metrics.test.ts; apps/api/src/rag/production-rag-observation-producer.test.ts; packages/contract/src/rag-quality-control.test.ts","control_verified_live_acceptance_pending","production threshold/dataset は未承認・未実測。"
"SQ-011","AC-SQ011-001 claim↔span/locator citation precision/validity; AC-SQ011-002 claim単位 completeness と無関係 citation 非代用","case citation は citationId/claimIds/relevant/supportValid/locatorValid を保持し、claim-side requiresCitation/support span と照合して precision/completeness/locator validity/required-claim miss を導出する。","infra metrics 12/12 と contract 11/11 は claim coverage/locator と required-claim miss=1 の zero-tolerance fail を検証する。","apps/api/src/rag/production-rag-observation-producer.test.ts; packages/contract/src/rag-quality-control.test.ts; infra/test/update-benchmark-run-metrics.test.ts; apps/api/src/chat-orchestration/nodes/node-units.test.ts","control_verified_live_acceptance_pending","production threshold/dataset は未承認・未実測。"
"SQ-012","AC-SQ012-001 refusal/clarification/handoff case の false answer; AC-SQ012-002 answerable case の false refusal","BenchmarkCaseResultSchema は expected/actual response type と answerable label を保持し、update-benchmark-run-metrics.mjs は falseAnswerRate/falseRefusalRate を case artifacts から導出する。quality gate は両 signal を mandatory にする。","infra/test/update-benchmark-run-metrics.test.ts は unanswerable answer と answerable refusal の rates を検証し、node-units.test.ts と rag-quality-control.test.ts は runtime behavior/threshold gate を検証する。実行結果はこの行では主張しない。","infra/test/update-benchmark-run-metrics.test.ts; apps/api/src/chat-orchestration/nodes/node-units.test.ts; packages/contract/src/rag-quality-control.test.ts","control_verified_live_acceptance_pending","aggregate optional valuesだけでは availability を作らず versioned case artifacts を要求する。"
"SQ-013","AC-SQ013-001 complete/partial/handoff を含む task achievement; AC-SQ013-002 高重大度失敗を独立 fail","task scenario は actor/goal/successCriteria/allowedHandoffs/severity を保持し、metrics/gate は completion/outcome accuracy/critical-high failure count を独立評価する。","infra metrics 12/12 と contract 11/11 は allowed handoff、outcome mismatch、critical failure=1 の zero-tolerance fail を検証する。","infra/test/update-benchmark-run-metrics.test.ts; apps/api/src/rag/production-rag-observation-producer.test.ts; packages/contract/src/rag-quality-control.test.ts","control_verified_live_acceptance_pending","production scenario target/dataset は未承認・未実測。"
"SQ-014","AC-SQ014-001 endpoint/stage別 success/timeout/error/backlog SLO; AC-SQ014-002 vector/LLM/OCR/queue recovery、retry/reconciliation/MTTR、重複消失なし","workload evidence は chat/search/ingest endpoint-stage outcome/backlog/retry exhaustion と vector/LLM/OCR/queue recovery/MTTR/no-loss/loss count を必須化し、policy が全 slice と recovery loss zero tolerance を gate する。","infra metrics 12/12、contract 11/11、monitor 6/6 が endpoint/dependency completeness、timeout/retry/loss、missing slice fail を検証する。","infra/test/update-benchmark-run-metrics.test.ts; apps/api/src/rag/production-rag-monitor.test.ts; packages/contract/src/rag-quality-control.test.ts","control_verified_live_acceptance_pending","production availability/MTTR target と live chaos run は未承認・未実施。"
"SQ-015","AC-SQ015-001 approved workload/quality/region/price で component+total unit cost と ceiling; AC-SQ015-002 SQ-005/SQ-007–014 と同時合格のみ採用","BenchmarkPriceCatalogSchema と update-benchmark-run-metrics.mjs は approved version/region rates と usageComplete case から model/embedding/storage/worker/egress/total、chat/search/ingest unit costを算出し、producer は price profile match時だけ cost signals を出す。global quality decision は costだけ passでも他 mandatory signal失敗なら fail。","infra/test/update-benchmark-run-metrics.test.ts は component/total/複数 unit kind と incomplete/unapproved evidence拒否を検証し、rag-quality-control.test.ts は price mismatchと independent quality gate missing時の総合 fail を検証する。実行結果はこの行では主張しない。","infra/test/update-benchmark-run-metrics.test.ts; packages/contract/src/rag-quality-control.test.ts; apps/api/src/rag/production-rag-observation-producer.test.ts","control_verified_live_acceptance_pending","live AWS billing照合は未実施。承認済み versioned price catalog と完全 usage artifact に限定した deterministic evidence。"
